"Split","In_Best_X","p_mutation","sigma_end","Score"
"0.9","5.0","1.0","0.001","9.999964313068297"
"0.9","6.0","1.0","0.001","9.99989059687275"
"0.9","7.0","1.0","0.001","9.999951380351058"
"0.9","8.0","1.0","0.001","9.9999691180683"
"0.9","9.0","1.0","0.001","9.999969118088254"
"0.9","10.0","1.0","0.001","9.999969118087398"
"0.9","11.0","1.0","0.001","9.999969118086716"
"0.9","12.0","1.0","0.001","9.99996911808673"
"0.9","13.0","1.0","0.001","9.999969118086735"
"0.9","14.0","1.0","0.001","9.999969118086735"
"0.9","15.0","1.0","0.001","9.999969118086735"
